연번,행정구역,안심 주소,위도,경도,CCTV 수량
86,서울특별시 관악구,A3002 1-1RZ 일삼별공원 농구코트(난곡동 산 90-3),37.4667,126.9237,1
87,서울특별시 관악구,A3003 1-1RZ 관음사지구 둘레길화장실앞(남현동 산 57-4),37.4699,126.9779,1
88,서울특별시 관악구,A3004 1-1RZ 무장애등산로#1 (대학동 산 56-2),37.4564,126.9461,1
89,서울특별시 관악구,A3005 1-1RZ 선우공원 생태지역 진입부 (미성동 산 117-3),37.4692,126.9127,1
90,서울특별시 관악구,A3007 1-1R 신림근린공원 운동시설 (미성동 산 197-31),37.4802,126.9158,1
91,서울특별시 관악구,A3008 1-1RZ 상도근린공원 약수터주변 (보라매동 산 118-6),37.4918,126.9363,1
92,서울특별시 관악구,A3009 1-1RZ 상도근린공원 맷돌체육회 (은천동 산 103-3),37.492,126.9403,1
93,서울특별시 관악구,A3010 1-1RZ 상도근린공원 봉현배수지 (성현동 산 1718-9),37.4934,126.9452,1
94,서울특별시 관악구,A3011 1-1RZ유아숲체험장 진입부분(청룡동 산 175-46),37.4747,126.9494,1
95,서울특별시 관악구,A3012 1-1RZ 유아숲체험장 숲속쉼터(청룡동 산 175-6),37.4747,126.9482,1
96,서울특별시 관악구,A3013 1-1RZ 청룡산공원 휴게테크(청룡동 산 175-27),37.4752,126.9516,1
97,서울특별시 관악구,A3014 1-1RZ 청룡산공원 운동공간(청룡산 산 175-27),37.4754,126.9511,1
98,서울특별시 관악구,A3015 1-1RZ 까치산근린공원 경로당 및 놀이터앞(행운동 산 66-3),37.4765,126.9696,1
99,서울특별시 관악구,A3016 1-1RZ 까치산근린공원 화장실앞(행운동 산 66-3),37.4765,126.9701,1
100,서울특별시 관악구,A3017 1-1RZ 예촌어린이공원(남현동 1083-1),37.4746,126.9766,1
101,서울특별시 관악구,A3018 1-1R 관악산공원 주차장(대학동 210),37.4683,126.9452,1
102,서울특별시 관악구,A9001 1-1RZ 상도근린공원 (은천동 산103-61와 국사봉체육관),37.4916,126.9412,1
