위도,경도,cctv_count,light_count,safelight_count,conv_count,ent_count,police_count,score,grade
37.507067912324864,126.9239271369401,0,0,0,1,0,0,45.0,보통
37.50796622349986,126.9239271369401,0,0,0,0,0,0,40.0,위험
37.50886453467485,126.9239271369401,0,0,0,1,0,0,45.0,보통
37.50976284584984,126.9239271369401,0,0,0,1,0,0,45.0,보통
37.510661157024835,126.9239271369401,0,0,0,2,0,0,50.0,보통
37.51155946819983,126.9239271369401,0,0,0,0,0,1,50.0,보통
37.51245777937482,126.9239271369401,0,0,0,1,0,1,55.0,안전
37.51335609054981,126.9239271369401,0,0,0,1,0,1,55.0,안전
37.514254401724806,126.9239271369401,0,0,0,0,0,1,50.0,보통
37.5151527128998,126.9239271369401,0,3,0,0,0,0,55.0,안전
37.51605102407479,126.9239271369401,0,3,0,0,0,0,55.0,안전
37.516949335249784,126.9239271369401,0,2,0,0,0,0,50.0,보통
37.51784764642478,126.9239271369401,0,0,0,0,0,0,40.0,위험
37.51874595759977,126.9239271369401,0,0,0,0,0,0,40.0,위험
37.51964426877476,126.9239271369401,0,0,0,0,0,0,40.0,위험
37.520542579949755,126.9239271369401,0,0,0,1,0,0,45.0,보통
