name,lat,lng,category,address
갈매울감자탕,37.50440342,126.9504503,음식점 > 한식 > 감자탕,서울 동작구 양녕로 282-1
서울밥집 노량진점,37.51226932,126.9465903,음식점 > 한식,서울 동작구 만양로14길 44
끄트머리 노량진 수산시장,37.51485561,126.9365102,"음식점 > 한식 > 해물,생선",서울 동작구 노들로 674
사당아바이순대국해장국,37.48341355,126.9767302,음식점 > 한식 > 순대,서울 동작구 사당로 260
보라매25시해장국,37.49966778,126.9235065,음식점 > 한식 > 해장국,서울 동작구 상도로 26-1
담소소사골순대육개장 노량진점,37.51239789,126.9440611,음식점 > 한식 > 순대 > 담소소사골순대육개장,서울 동작구 노량진로16길 27
미들도어,37.50605301,126.9569433,음식점 > 카페 > 테마카페 > 디저트카페,서울 동작구 흑석로6길 12
왕돈까스왕냉면 동작점,37.504066,126.9380552,"음식점 > 일식 > 돈까스,우동",서울 동작구 상도로 170
더진국수육국밥 중앙대점,37.5072466,126.9588088,음식점 > 한식 > 국밥 > 더진국,서울 동작구 흑석로 83-1
원종동장터순대국,37.49094262,126.90856,음식점,서울 동작구 시흥대로 668
신의주찹쌀순대 숭실대점,37.49490219,126.9570424,음식점 > 한식 > 순대 > 신의주찹쌀순대,서울 동작구 상도로61길 37
전주할매집 신대방삼거리점,37.49882003,126.9294513,음식점 > 한식,서울 동작구 국사봉1길 18
충남식당,37.51462085,126.9372637,"음식점 > 한식 > 해물,생선 > 회",서울 동작구 노들로 674
노량진 전라도회양념,37.51518291,126.9386455,"음식점 > 한식 > 해물,생선 > 회",서울 동작구 노들로 674
롯데리아 용산역사점,37.52889767,126.9642024,음식점 > 패스트푸드 > 롯데리아,서울 용산구 한강대로23길 55
롯데리아 영등포역사역,37.51566821,126.9076657,음식점 > 패스트푸드 > 롯데리아,서울 영등포구 경인로 846
롯데리아 용산역사ST점,37.53004921,126.9644021,음식점 > 패스트푸드 > 롯데리아,서울 용산구 한강대로23길 55
피자보이시나 노량진점,37.5118507,126.9453872,음식점 > 양식 > 피자,서울 동작구 만양로14길 21
또순이회양념,37.51508702,126.9379273,"음식점 > 한식 > 해물,생선 > 회",서울 동작구 노들로 674
일성수산,37.51458632,126.9384107,"가정,생활 > 식품판매 > 수산물판매",서울 동작구 노들로 674
공주상회,37.51486669,126.9387102,"음식점 > 한식 > 해물,생선 > 회",서울 동작구 노들로 674
황금어장,37.51496765,126.9370972,음식점 > 일식,서울 동작구 노들로 674
올인베이커리 노량진점,37.5126474,126.943923,"음식점 > 간식 > 제과,베이커리",서울 동작구 노량진로16길 21
대신꽃게 노량진수산시장,37.51491733,126.9390789,"가정,생활 > 식품판매 > 수산물판매",서울 동작구 노들로 674
옛날짜장우동,37.50512391,126.9125939,음식점 > 중식 > 중국요리,서울 영등포구 가마산로 508
카페389,37.50994743,126.9465863,음식점 > 카페 > 테마카페 > 무인카페,서울 동작구 만양로8길 45
카페프리헷 흑석점,37.50734366,126.9665618,음식점 > 카페 > 테마카페 > 무인카페 > 카페프리헷,서울 동작구 현충로 115
양평감자탕,37.50859209,126.9623685,음식점 > 한식 > 감자탕,서울 동작구 서달로15길 16
CAFE노들,37.51287594,126.9513382,음식점 > 카페 > 테마카페 > 무인카페,서울 동작구 노량진로 227
더진국수육국밥 숭실대점,37.4947688,126.956934,음식점 > 한식 > 국밥 > 더진국,서울 동작구 상도로61길 38
카페신호,37.49332755,126.9145345,음식점 > 카페 > 테마카페 > 무인카페,서울 동작구 여의대방로10가길 9
퐁치커피익스프레스 이수역점,37.48183028,126.9757312,음식점 > 카페,서울 동작구 사당로20길 29
